Company,FiscalYear,y_true,y_true_delta,Fundamental_Outlook_raw,Fundamental_Outlook,Risk_Flag_raw,Risk_Flag,R4_fired,low_conf_membership,fired_rules,dominant_states,top_pos_signal,top_pos_signal_label,top_pos_membership,top_neg_signal,top_neg_signal_label,top_neg_membership,GP_sigma
ADBL,2074/2075,0,-0.29,0.6652764838664728,0.5641783642052003,0.575998386440049,0.575998386440049,True,0.8738441298586143,"R1,R4,R5","{""SHAP_CD_Ratio"": {""state"": ""neutral"", ""label"": ""Stable"", ""membership"": 0.9560722987622979}, ""SHAP_Base_Rate"": {""state"": ""positive"", ""label"": ""Funding pressure rising"", ""membership"": 0.9874679648717817}, ""SHAP_Interest_Spread"": {""state"": ""negative"", ""label"": ""Margin compression"", ""membership"": 0.9981514730202359}, ""SHAP_CAR"": {""state"": ""neutral"", ""label"": ""Stable"", ""membership"": 0.969650132025112}, ""GP_mu"": {""state"": ""neutral"", ""label"": ""Flat outlook"", ""membership"": 0.9635081898324833}, ""GP_confidence"": {""state"": ""negative"", ""label"": ""Low confidence"", ""membership"": 0.8738441298586143}}",SHAP_Base_Rate,Funding pressure rising,0.9874679648717817,SHAP_Interest_Spread,Margin compression,0.9981514730202359,0.3792840476364769
ADBL,2075/2076,0,-0.1899999999999999,0.7051686550459149,0.570074929591027,0.3684696217870429,0.5,True,0.9406458131771441,"R2,R4,R5","{""SHAP_CD_Ratio"": {""state"": ""negative"", ""label"": ""Liquidity-pressure reducing"", ""membership"": 0.9963089968581663}, ""SHAP_Base_Rate"": {""state"": ""negative"", ""label"": ""Funding pressure easing"", ""membership"": 0.9673324423894739}, ""SHAP_Interest_Spread"": {""state"": ""negative"", ""label"": ""Margin compression"", ""membership"": 0.9972606473895299}, ""SHAP_CAR"": {""state"": ""positive"", ""label"": ""Capital cushion strengthening"", ""membership"": 0.9829389809518225}, ""GP_mu"": {""state"": ""neutral"", ""label"": ""Flat outlook"", ""membership"": 0.7657651255522337}, ""GP_confidence"": {""state"": ""negative"", ""label"": ""Low confidence"", ""membership"": 0.9406458131771441}}",SHAP_CAR,Capital cushion strengthening,0.9829389809518225,SHAP_Interest_Spread,Margin compression,0.9972606473895299,0.2994464131304344
ADBL,2076/2077,0,-0.8699999999999999,0.6905191662628142,0.5639637910772477,0.3796676496685045,0.5,True,0.948951208787257,"R4,R5","{""SHAP_CD_Ratio"": {""state"": ""neutral"", ""label"": ""Stable"", ""membership"": 0.9999266599150651}, ""SHAP_Base_Rate"": {""state"": ""positive"", ""label"": ""Funding pressure rising"", ""membership"": 0.7395004519664442}, ""SHAP_Interest_Spread"": {""state"": ""neutral"", ""label"": ""Stable"", ""membership"": 0.9921161901355295}, ""SHAP_CAR"": {""state"": ""neutral"", ""label"": ""Stable"", ""membership"": 0.9458835056204343}, ""GP_mu"": {""state"": ""neutral"", ""label"": ""Flat outlook"", ""membership"": 0.8225629227938607}, ""GP_confidence"": {""state"": ""negative"", ""label"": ""Low confidence"", ""membership"": 0.948951208787257}}",SHAP_CAR,Capital cushion strengthening,0.9398704030319548,SHAP_Interest_Spread,Margin compression,0.9602741398723827,0.3011546851924681
ADBL,2077/2078,0,-0.1600000000000001,0.6552149603872954,0.5551544804145523,0.37239741080599653,0.5,True,0.9209392088335365,"R2,R4,R5,R7","{""SHAP_CD_Ratio"": {""state"": ""neutral"", ""label"": ""Stable"", ""membership"": 0.9798794652341768}, ""SHAP_Base_Rate"": {""state"": ""neutral"", ""label"": ""Stable"", ""membership"": 0.9947024552532362}, ""SHAP_Interest_Spread"": {""state"": ""neutral"", ""label"": ""Stable"", ""membership"": 0.9999896686575647}, ""SHAP_CAR"": {""state"": ""positive"", ""label"": ""Capital cushion strengthening"", ""membership"": 0.5002697043212826}, ""GP_mu"": {""state"": ""negative"", ""label"": ""Improving outlook"", ""membership"": 0.9818319154446771}, ""GP_confidence"": {""state"": ""negative"", ""label"": ""Low confidence"", ""membership"": 0.9209392088335365}}",SHAP_CAR,Capital cushion strengthening,0.5002697043212826,SHAP_Interest_Spread,Margin compression,0.920884997524517,0.2958752673868071
ADBL,2078/2079,1,0.8,0.5617490400721264,0.5198336932464488,0.7017827414262681,0.7017827414262681,True,0.9697165627819151,"R1,R2,R4,R8","{""SHAP_CD_Ratio"": {""state"": ""positive"", ""label"": ""Liquidity-pressure building"", ""membership"": 0.9824052582140467}, ""SHAP_Base_Rate"": {""state"": ""negative"", ""label"": ""Funding pressure easing"", ""membership"": 0.9871610750693623}, ""SHAP_Interest_Spread"": {""state"": ""negative"", ""label"": ""Margin compression"", ""membership"": 0.9007291692287549}, ""SHAP_CAR"": {""state"": ""neutral"", ""label"": ""Stable"", ""membership"": 0.9999671831078039}, ""GP_mu"": {""state"": ""negative"", ""label"": ""Improving outlook"", ""membership"": 0.8138827901096168}, ""GP_confidence"": {""state"": ""negative"", ""label"": ""Low confidence"", ""membership"": 0.9697165627819151}}",SHAP_CD_Ratio,Liquidity-pressure building,0.9824052582140467,SHAP_Base_Rate,Funding pressure easing,0.9871610750693623,0.3062808361162201
ADBL,2079/2080,1,0.96,0.6358180017972933,0.6358180017972933,0.3719150428509323,0.3719150428509323,False,0.49637564448973265,R5,"{""SHAP_CD_Ratio"": {""state"": ""neutral"", ""label"": ""Stable"", ""membership"": 0.978913816480952}, ""SHAP_Base_Rate"": {""state"": ""positive"", ""label"": ""Funding pressure rising"", ""membership"": 0.9030869477012595}, ""SHAP_Interest_Spread"": {""state"": ""positive"", ""label"": ""Margin expansion"", ""membership"": 0.9669942201967731}, ""SHAP_CAR"": {""state"": ""negative"", ""label"": ""Capital pressure building"", ""membership"": 0.8813382363420369}, ""GP_mu"": {""state"": ""neutral"", ""label"": ""Flat outlook"", ""membership"": 0.9856386030750852}, ""GP_confidence"": {""state"": ""neutral"", ""label"": ""Moderate confidence"", ""membership"": 0.9825337899521295}}",SHAP_Interest_Spread,Margin expansion,0.9669942201967731,SHAP_CD_Ratio,Liquidity-pressure reducing,0.8830902937564378,0.2566470608120701
ADBL,2080/2081,0,-0.1800000000000001,0.6535747927237926,0.6535747927237926,0.3686217550063002,0.3686217550063002,False,0.48359746490479866,"R2,R3,R5,R7","{""SHAP_CD_Ratio"": {""state"": ""negative"", ""label"": ""Liquidity-pressure reducing"", ""membership"": 0.9848656306887046}, ""SHAP_Base_Rate"": {""state"": ""negative"", ""label"": ""Funding pressure easing"", ""membership"": 0.9718996527080003}, ""SHAP_Interest_Spread"": {""state"": ""positive"", ""label"": ""Margin expansion"", ""membership"": 0.4438461321141245}, ""SHAP_CAR"": {""state"": ""negative"", ""label"": ""Capital pressure building"", ""membership"": 0.9995454548578705}, ""GP_mu"": {""state"": ""negative"", ""label"": ""Improving outlook"", ""membership"": 0.985556351623371}, ""GP_confidence"": {""state"": ""neutral"", ""label"": ""Moderate confidence"", ""membership"": 0.9782816629142854}}",SHAP_Interest_Spread,Margin expansion,0.4438461321141245,SHAP_CAR,Capital pressure building,0.9995454548578705,0.2557597243857001
ADBL,2081/2082,1,1.5200000000000005,0.5903714687649572,0.5497965157397383,0.3682748491916316,0.5,True,0.6413995412447256,"R4,R7","{""SHAP_CD_Ratio"": {""state"": ""negative"", ""label"": ""Liquidity-pressure reducing"", ""membership"": 0.9994574181473299}, ""SHAP_Base_Rate"": {""state"": ""neutral"", ""label"": ""Stable"", ""membership"": 0.9984826503824907}, ""SHAP_Interest_Spread"": {""state"": ""neutral"", ""label"": ""Stable"", ""membership"": 0.9958683797327191}, ""SHAP_CAR"": {""state"": ""negative"", ""label"": ""Capital pressure building"", ""membership"": 0.9390879400568939}, ""GP_mu"": {""state"": ""negative"", ""label"": ""Improving outlook"", ""membership"": 0.26636104149658024}, ""GP_confidence"": {""state"": ""negative"", ""label"": ""Low confidence"", ""membership"": 0.6413995412447256}}",SHAP_Interest_Spread,Margin expansion,0.1794886302195026,SHAP_CD_Ratio,Liquidity-pressure reducing,0.9994574181473299,0.451460933173788
EBL,2074/2075,0,-0.04,0.6865994643910409,0.6865994643910409,0.5748562941424542,0.5748562941424542,False,0.0197583413293948,"R2,R3,R5","{""SHAP_CD_Ratio"": {""state"": ""neutral"", ""label"": ""Stable"", ""membership"": 0.9952980707499849}, ""SHAP_Base_Rate"": {""state"": ""negative"", ""label"": ""Funding pressure easing"", ""membership"": 0.9732399423232804}, ""SHAP_Interest_Spread"": {""state"": ""negative"", ""label"": ""Margin compression"", ""membership"": 0.998326755353638}, ""SHAP_CAR"": {""state"": ""positive"", ""label"": ""Capital cushion strengthening"", ""membership"": 0.997885850617677}, ""GP_mu"": {""state"": ""neutral"", ""label"": ""Flat outlook"", ""membership"": 0.9629147220295274}, ""GP_confidence"": {""state"": ""positive"", ""label"": ""High confidence"", ""membership"": 0.9443166505334668}}",SHAP_CAR,Capital cushion strengthening,0.997885850617677,SHAP_Interest_Spread,Margin compression,0.998326755353638,0.2085064649529622
EBL,2075/2076,0,0.06,0.6987486740659292,0.6987486740659292,0.36833242830033625,0.36833242830033625,False,0.0008764966245769059,"R2,R3,R5,R7","{""SHAP_CD_Ratio"": {""state"": ""negative"", ""label"": ""Liquidity-pressure reducing"", ""membership"": 0.9877293451851525}, ""SHAP_Base_Rate"": {""state"": ""negative"", ""label"": ""Funding pressure easing"", ""membership"": 0.999926279432164}, ""SHAP_Interest_Spread"": {""state"": ""neutral"", ""label"": ""Stable"", ""membership"": 0.9603015053802966}, ""SHAP_CAR"": {""state"": ""neutral"", ""label"": ""Stable"", ""membership"": 0.9966160856258369}, ""GP_mu"": {""state"": ""negative"", ""label"": ""Improving outlook"", ""membership"": 0.9933017077269227}, ""GP_confidence"": {""state"": ""positive"", ""label"": ""High confidence"", ""membership"": 0.8291064673618057}}",SHAP_CAR,Capital cushion strengthening,0.8335573037595507,SHAP_Base_Rate,Funding pressure easing,0.999926279432164,0.1903575808705392
